longitude,latitude,u_10m_component_of_wind,v_10m_component_of_wind,dewpoint_2m_temperature,temperature_2m,mean_sea_level_pressure,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,surface_sensible_heat_flux,top_net_solar_radiation,top_net_thermal_radiation,total_cloud_cover,total_precipitation
42,-91,-4.0993094,-2.91651,279.76056,281.7653,101797.53,56502.625,-38087.062,98734.695,51245.688,285050.38,-824489.25,1,2.48E-05
42,-91,-1.7285743,-2.6756992,267.9737,278.90564,102821.055,1911513.6,-332692.06,99679.234,-807030.25,2604149,-871037.6,0.2146247,0
42,-91,-0.8765638,-1.7528967,266.11212,278.9558,102715.89,335418.38,-384654.44,99604.27,46013.625,531818.6,-886496.25,0.010010213,0
42,-91,-0.701906,3.2912662,261.90027,281.02213,103163.58,2485892,-549446.5,100030.664,-851644.5,3047560.8,-916550.9,0.3072803,0
42,-91,-0.68240106,1.9263643,264.49252,280.7363,102816.484,353902.12,-385687.5,99718.82,57891.875,558464.75,-888842.7,0.00778234,0
42,-91,0.52513105,7.9879994,274.7023,288.15942,102046,2264917.5,-405480.72,99023.16,-769486.44,3001085.2,-825783.2,0.98849434,0
42,-91,0.9542394,5.5982723,276.78345,288.904,101576.11,261815.62,-194077.5,98593.164,183674.38,486169.25,-781719.25,0.98998976,0
42,-91,1.6927669,-0.38064182,278.1929,280.53275,101520.72,55.375,-176949.56,98515.805,92112.625,275.25,-835996.94,0.56090826,0
42,-91,-0.22580853,-4.0571456,277.52124,288.07718,101734.56,1511955.8,-266576.9,98711.91,-461570.47,2384921.8,-559053,1,0
42,-91,-0.519269,-2.5791912,274.89944,286.02063,101762.26,154067.75,-136991.22,98741.89,53861.75,342267,-532155.7,1,0
42,-91,-1.602679,-3.4541988,271.8515,276.73056,101982.25,332.125,-174614.88,98879.83,76769.875,1032.75,-850213.4,0.26553035,0
42,-91,-2.659491,-1.2473775,271.89755,285.03067,101790.22,1457334.8,-265130.62,98740.09,-467651,2315036.2,-669368.2,0.9434483,0
42,-91,0.41785395,-2.113194,274.9502,280.74188,101607.85,30935.375,-59615.812,98548.19,74507.31,214682.88,-461108.12,1,0.002113178
42,-91,0.772489,-5.5709457,265.94568,277.39005,101435.414,442.75,-113644.28,98343.086,109223,1652.5,-691779.75,1,4.55E-05
42,-91,1.1590412,-7.583832,269.00305,277.9673,101802.37,1260599.5,-144367.19,98681.32,-738235.25,2110199.2,-664468.4,1,0
42,-91,2.5226128,-5.92389,262.52472,276.73892,102055.664,281904.12,-262279.44,98928.41,34347.438,483966,-827646.56,0.09460881,0
42,-91,2.4614382,-2.059885,262.12335,267.01105,103022.36,1549.625,-329882.2,99778.19,87870.375,3855.75,-807132.8,0,0
42,-91,2.8976393,-3.2896752,262.20126,276.14218,102973.5,2549754.8,-525934.25,99786.586,-1122653,3127292.2,-903110.8,0.33233637,0
42,-91,1.8195488,-0.4265982,263.4974,277.25342,102713.41,392087,-368642.2,99567.09,13065.5625,621189.5,-860961.94,0.74493766,0
42,-91,0.73436576,5.083562,268.69025,273.88483,102519.16,1604.875,-130834.22,99358.39,75143.69,5232.75,-790397.44,0.91662216,0
42,-91,3.7354643,8.169067,270.73007,283.72565,102103.87,2452521.5,-453393.56,99029.16,-1026636.94,3135348,-867845.9,0.9122274,0
42,-91,2.2335851,5.218673,272.46417,284.3461,101700.6,324405.62,-293911.38,98666.93,151433.25,566658.1,-861099.94,0.86104715,0
42,-91,2.008392,1.1644089,272.28238,276.70963,101558.21,2047.625,-143437.44,98470.83,100738.5,6403.25,-545216.1,0.9979857,0.000150425
42,-91,5.4128876,-2.774046,273.2173,280.03778,101693.805,1478198.1,-183871,98606.36,-628926.9,2380928.5,-857890.94,0.9222071,3.26E-05
42,-91,3.9464724,1.1028274,271.76532,282.37875,101642.336,395518.12,-338766.4,98594.37,95223.625,630278.1,-900143.3,0,0
42,-91,1.6741486,1.3307707,270.5766,272.1392,102365.79,4870,-239490.36,99250.445,24943.812,11773.75,-852128.44,0.00201425,0
42,-91,2.3630269,2.610194,271.4773,286.93945,102466.64,2272111.8,-408497.22,99415.97,-689025.25,3054446,-803164.6,0.9931332,0
42,-91,0.20329982,-1.0350593,277.49054,283.64618,102533.266,111732.375,-116226.91,99459.74,5712.3125,331663.75,-569663.5,0.99221766,0.0002688
42,-91,-5.9753284,-0.20508873,277.48227,279.21375,102622.75,3763.25,-93045.28,99511.32,112121.875,11360.75,-616919.3,1,0
42,-91,-8.242332,2.464972,276.81296,283.69498,102369.84,1784120,-245337.42,99297.23,-796848.9,2654067.2,-791760.44,1,1.03E-06
42,-91,-5.7598877,-0.27034664,278.9118,281.782,102132.61,133757.88,-84946.19,99056.74,17449.188,399759.12,-853629.44,1,9.30E-06
42,-91,-1.295033,0.2581507,278.20236,278.8345,101933.914,3265.125,-64863.72,98840.25,9954.5625,15491.75,-868535.94,1,0
42,-91,1.0393517,0.5357268,280.1584,286.8321,101867.16,1899394.1,-303146.88,98843.24,-539981.25,2774422,-908925.06,0.9889827,2.84E-05
42,-91,0.15719724,1.5522801,280.76395,286.9227,101757.69,204870.25,-97508.06,98738.3,21125.812,488854.5,-878076.8,0.7268094,0
42,-91,-1.527319,2.6855621,278.73,279.52188,101939.53,9131.25,-209655.89,98870.83,76416.31,22790.25,-782737.2,0.99697864,0
42,-91,-2.8740454,5.2701445,282.75537,289.94968,101699.3,1906643.6,-295378.3,98711.91,-606655.1,2821379.5,-812619.25,0.95144427,0
